,CENSUS BLOCK,TOTAL POPULATION,bus_within_001,cof_within_001,closest_el,dist_to_closest_el,daily_rides_closest_el,best_shops_under_001,block_lat,block_lon,crime_count,dist_to_closest_library,db_labels,pca_one,pca_two
282,106001002,0,5,0,Morse,0.002275363584232082,3845.4347892720307,0,42.006115499933465,-87.6659378635177,2,0.008061945803980564,8,0.6575660379571906,0.303374016574228
1539,305003015,0,7,0,Bryn Mawr,0.0036514545270946996,4072.403314917127,0,41.98557100001604,-87.66042445451106,2,0.005757545472910408,8,0.879679318320922,0.3453516631779397
2738,503001007,15,9,0,Rockwell,0.012385888739920858,1293.702362687941,0,41.95894611109096,-87.68888300016913,1,0.007923620694548106,12,0.7690982428215376,0.1207750928466016
4076,705003011,21,8,0,Diversey,0.012470125266233367,4045.281528076097,0,41.92908624985127,-87.6619553751175,1,0.007336685881519145,12,0.7033365039170736,0.24669640603537313
4142,707002006,0,6,0,Paulina,0.01768805554706887,1986.4891070880637,0,41.9282740556917,-87.67324611123877,4,0.014527938353403158,11,0.6919860334014659,-0.36307008987153994
4675,813002001,0,9,0,Clark/Division,0.016913909145678474,6600.007060629317,0,41.89968690899746,-87.61873118185686,1,0.006520144244070991,12,0.730670673416198,0.018694724530531795
4676,813002002,0,9,0,Clark/Division,0.01677386685708626,6600.007060629317,0,41.89968159979406,-87.61887653334885,1,0.006369483548674282,12,0.7362993808011926,0.030174010712089073
4679,813002005,0,10,0,Clark/Division,0.01808333330496481,6600.007060629317,0,41.89899277783321,-87.61825588886182,1,0.00630130607485313,12,0.8114389586391484,-0.02577174737549762
4938,818002014,0,6,0,Clark/Division,0.010701800281033513,6600.007060629317,0,41.89772010003251,-87.63591390031354,2,0.006725185126022382,8,0.6816679875986852,0.22249346217132868
6909,1201003018,0,6,0,Jefferson Park,0.03162915420047341,5428.548634550476,0,41.99713646171639,-87.76601869248408,0,0.004136378721469214,18,0.20286912429218135,0.07270890247292561
6987,1202001037,22,8,0,Jefferson Park,0.03159272710185235,5428.548634550476,0,41.99802113619874,-87.76509759090311,0,0.0040999516228481525,18,0.4137892561062198,0.17466121080061262
7791,1404005016,22,9,0,Jefferson Park,0.01720708350478617,5428.548634550476,0,41.97059583321671,-87.7437230832785,1,0.007802561086748483,12,0.7251910806881825,0.11533579086029994
8410,1504011000,8,8,0,Jefferson Park,0.009278400084575367,5428.548634550476,0,41.96820006656753,-87.76773646665211,1,0.006784879062657012,12,0.7369642649268787,0.22094218925622958
9272,1604002017,3,7,0,Kimball,0.02100579977135908,3272.478661344796,0,41.95546560023398,-87.72163540000534,1,0.0062547290829542135,21,0.5156800359117815,0.08207415157127526
9608,1608005000,20,7,0,Kimball,0.01623791675329045,3272.478661344796,0,41.95361299975465,-87.71111508349206,1,0.0061181879096565694,21,0.6003925217446536,0.3004989336837248
10969,1903002015,17,7,0,Jefferson Park,0.03925246660671178,5428.548634550476,0,41.935474466685385,-87.7567990667079,0,0.0056084127705986475,18,0.1870871532675628,-0.03214431609648387
12551,2203002017,16,9,0,Logan Square,0.018745166672850644,5034.332208071199,0,41.925103833255754,-87.69442000007139,1,0.009025841658541367,12,0.6660674201633959,-0.033159309975084615
12667,2206011008,0,6,0,Logan Square,0.005959091030952379,5034.332208071199,0,41.924907181807605,-87.70967927283856,2,0.006430082556775574,8,0.7457097977246357,0.3104691000515243
12960,2211001003,14,7,0,Logan Square,0.006578312789145002,5034.332208071199,0,41.92447774984686,-87.709869062636,2,0.007049304314968197,8,0.831153997358938,0.33692482271321345
13584,2305002005,0,7,0,Laramie,0.040386692479891906,1151.31466707579,0,41.910497153792754,-87.73793346131286,0,0.004462106834964175,18,0.17926666826523077,-0.1170455237985918
14299,2409001029,0,5,0,Conservatory,0.03250642116970681,714.3289845960389,0,41.900791052648714,-87.699903631479,4,0.012977421169701131,11,0.4681157457713574,-0.44221994938643483
15905,2508001002,0,4,0,Laramie,0.02432246670210958,1151.31466707579,0,41.90932319997871,-87.7528237332766,4,0.016081253611623936,11,0.39460700671209853,-0.47545812788611147
16244,2514004023,0,6,0,Ridgeland,0.012862833220729897,1075.351189562548,0,41.88729312490859,-87.77093229168786,2,0.007199453065616979,8,0.6435395423596486,0.16114570986310178
16407,2517001039,0,8,0,Laramie,0.012812940941792306,1151.31466707579,0,41.890919352899225,-87.74592941195743,1,0.005527283942583949,21,0.7165905020490261,0.18194255978346827
16973,2605001026,15,5,0,Kostner,0.024101333309808126,337.52486187845307,0,41.8755964668245,-87.73551386648532,4,0.013695711950873601,11,0.5705859622298269,-0.24044386008450536
17730,2909001002,0,5,0,Kostner,0.0171155384007875,337.52486187845307,0,41.86583869207608,-87.7282301536753,4,0.016169773889266992,11,0.5666658013054148,-0.41638839001244843
18266,3011002012,0,4,0,Central Park,0.02835416652636269,774.0730733804114,0,41.84468108351503,-87.69564574995862,4,0.014327766526363916,11,0.3929437772663586,-0.4248336584887977
18485,3018022008,18,7,0,Kostner,0.015638076968556902,337.52486187845307,0,41.84647392306262,-87.72489699996883,1,0.004492097134964013,21,0.6474391332614238,0.39456340339407703
19186,3301004073,0,7,0,Cermak-McCormick Place,0.0008148823616167533,1272.9314285714286,0,41.85364358819222,-87.6266882941694,2,0.0057467818352208155,8,0.9136181017267307,0.3875991778375386
19498,3514001021,20,6,0,Indiana,0.005955545380729177,695.1764705882352,0,41.827051727269435,-87.62200681811129,2,0.005770540965265525,8,0.7919976548013057,0.5164956638780331
19873,3907001015,2,6,0,51st,0.03736199995323375,950.1528545119705,0,41.80670910000985,-87.58574410005662,0,0.0044665122288449766,18,0.12904502512986005,-0.015499735896307744
20372,4207002008,5,9,0,King Drive,0.015542400081884011,561.7520724593184,0,41.77409550001555,-87.60603809990256,1,0.0073966538361531775,12,0.7310832280818875,0.025130238817724974
23495,4909022001,0,5,0,95th/Dan Ryan,0.02415770025177011,10624.839241676942,0,41.70703179995884,-87.61552949978939,4,0.015356553415081464,11,0.5045253409135669,-0.46871858293312113
28159,5805013005,10,8,0,35th/Archer,0.03341281821691666,2256.8408532842236,0,41.81942163623893,-87.70410345445585,0,0.005731985217444446,18,0.3318928105992535,-0.052954817975898044
28174,5805013020,17,7,0,35th/Archer,0.035090199833057056,2256.8408532842236,0,41.81772226669772,-87.70408146653078,0,0.004010627751171114,18,0.27854381320017646,0.12883230116962047
28241,5805023021,0,7,0,35th/Archer,0.032286167120979314,2256.8408532842236,0,41.81610033298383,-87.69965550010481,0,0.003960359699817673,18,0.28858957041016153,0.033073380315461344
28385,5905001003,0,7,0,35th/Archer,0.0018733888143316335,2256.8408532842236,0,41.82972066660666,-87.67911627779233,2,0.006451457053977094,8,0.8825039251003679,0.32799406505500356
28402,5905001020,12,5,0,35th/Archer,0.00209160000621722,2256.8408532842236,0,41.82872499980406,-87.67915840018972,2,0.007489246253967963,8,0.6921538493404118,0.4407253070949341
29230,6119001004,7,4,0,Ashland/63rd,0.022417727289621325,1384.2597083653109,0,41.80050200014957,-87.66454172714005,4,0.014843586773586992,11,0.4599037340393831,-0.3124536413189335
29701,6301001018,0,4,0,35th/Archer,0.03219774972550482,2256.8408532842236,0,41.800489125175226,-87.68395587490073,4,0.014281534649903449,11,0.348557791684229,-0.47827418501341096
29730,6302001017,0,4,0,35th/Archer,0.03256900040396715,2256.8408532842236,0,41.80136099998538,-87.68519900038935,4,0.01465278532836578,11,0.3343773609765183,-0.5069443685231052
29899,6305001001,17,4,0,35th/Archer,0.03301549991849129,2256.8408532842236,0,41.80092080018349,-87.68520530010198,4,0.015099284842889915,11,0.3418698630134392,-0.4014244195703351
31328,6605001001,16,8,0,Ashland/63rd,0.04135940007925143,1384.2597083653109,0,41.77869899991806,-87.70496439999731,0,0.004811655834487283,18,0.27050564016337236,-0.06242661195594354
32092,6705001004,10,4,0,Ashland/63rd,0.025579333423159767,1384.2597083653109,0,41.79338708324842,-87.67481825017474,4,0.017748728985154116,11,0.35022678796316714,-0.5158587226947166
32982,6809004025,0,6,0,Ashland/63rd,0.02204190892457092,1384.2597083653109,0,41.775954909071714,-87.64462918200371,4,0.01343804076736177,11,0.6690271585929242,-0.3586877107339996
33007,6810002000,1,6,0,Ashland/63rd,0.02209876952888834,1384.2597083653109,0,41.77563465365142,-87.64489257681969,4,0.014021691003627268,11,0.6544280386478728,-0.3878044213130644
34962,7103001027,7,3,0,Ashland/63rd,0.02933976178825759,1384.2597083653109,0,41.75064333341858,-87.66264290479316,4,0.015819769904716452,11,0.2631898273774928,-0.4339658177898002
35150,7106002001,20,4,0,Ashland/63rd,0.029911285514124586,1384.2597083653109,0,41.75020100006162,-87.66251371442425,4,0.01613291289276475,11,0.35581554041596825,-0.3958951847519174
35734,7114002000,0,6,0,87th,0.019776700198114838,4143.510018495685,0,41.73600830016331,-87.6438574000348,4,0.015836935165339128,11,0.6327367330270156,-0.4755854611336997
38461,8308001011,0,5,0,Lawrence,0.018214384788628024,2802.7138475693914,0,41.96742953828733,-87.67499792307596,4,0.014444883594983082,11,0.5990472910730522,-0.32456802822679937
41864,8368002003,3,6,0,Conservatory,0.012350624455770287,714.3289845960389,0,41.887259249706915,-87.70652762525114,2,0.007178375544235394,8,0.6545036537651815,0.19467778592306034
42833,8390003003,0,5,0,Roosevelt,0.006584200407985463,8512.918314176246,0,41.87021460033015,-87.63036460007783,2,0.00825705215520145,8,0.6013050952786079,0.22801411623584625
43147,8397003010,22,8,0,35th/Archer,0.031744187570033944,2256.8408532842236,0,41.83120400004696,-87.65072881247693,0,0.005326834647604528,18,0.37968644306469923,0.09567587516568359
43202,8399002001,0,7,0,Indiana,0.03455311126297289,695.1764705882352,0,41.83048766673924,-87.64716844452373,0,0.0024828000021273056,18,0.3005992099203321,0.0922982385324297
43227,8399002026,28,7,0,Indiana,0.03239853859734154,695.1764705882352,0,41.82916607700725,-87.64633546159008,0,0.003270506111192617,18,0.3458518640683398,0.30518058108428464
43388,8402001014,0,4,0,Cermak-Chinatown,0.022009571246620396,3560.6916910744567,0,41.847198928701395,-87.64697049994801,4,0.015397383940879195,11,0.4400564143887224,-0.3987699354919159
43391,8402001017,0,6,0,Cermak-Chinatown,0.023307110851419566,3560.6916910744567,0,41.84630500009665,-87.64737411094806,4,0.014907066336185437,11,0.6153340314434735,-0.46914726647267646
43536,8404001012,0,7,0,35th/Archer,0.013909150042309193,2256.8408532842236,0,41.834703025147135,-87.67206287510483,1,0.005584304174000465,21,0.613201854092148,0.2033277906595596
43542,8404001018,0,9,0,35th/Archer,0.014815749629740083,2256.8408532842236,0,41.8343609165751,-87.67081416694536,1,0.006490903761431355,12,0.756334863296189,0.05127582831539501
43822,8411002003,0,7,0,Cermak-Chinatown,0.006355149953826356,3560.6916910744567,0,41.84789629997736,-87.63201344993118,1,0.0062799692257371476,21,0.6845105921894975,0.2705150928133844
44221,8417001007,17,9,0,Central Park,0.01362610015271315,774.0730733804114,0,41.85249080003176,-87.70256409981553,1,0.00551510021622903,12,0.8206914276586192,0.26976869070048576
44236,8417001022,0,8,0,Central Park,0.009606769245252167,774.0730733804114,0,41.85198346159583,-87.70709076915892,1,0.004419630754746606,21,0.7837973415286346,0.29823892384472583
44418,8419002023,0,6,0,LaSalle,0.013678692066889653,2185.6178637200737,0,41.87016123079229,-87.63999392285918,4,0.015371143490845895,11,0.7173534058990471,-0.35706603856012853
46107,8438001050,0,4,0,51st,0.026540666697350446,950.1528545119705,0,41.80209588901272,-87.64502177768463,4,0.015930558412598828,11,0.37225655089546295,-0.49854011056898884
